ID,Name,link,type1,type2,lat,lon,District,Address,Map_Link,note,Website
147,  TRUNG TÂM ĐÀO TẠO NGHỆ THUẬT MC MỸ VÂN ,https://mcmyvan.com/khoahoc/,"MC, Kỹ năng mềm khác","Đào tạo nhí, Đào tạo người lớn",21.022386,105.843565,Phường Cửa Nam,"TuoiTreGoClub, 91, Phố Trần Hưng Đạo, Phường Cửa Nam, Hà Nội, 11018, Việt Nam",  https://www.google.com/maps/place/TRUNG+T%C3%82M+%C4%90%C3%80O+T%E1%BA%A0O+NGH%E1%BB%86+THU%E1%BA%ACT+MC+M%E1%BB%B8+V%C3%82N/data=!4m7!3m6!1s0x3135ab004ace79bd:0x1fce3d5e12546065!8m2!3d21.0223859!4d105.843565!16s%2Fg%2F11w84nqx2m!19sChIJvXnOSgCrNTERZWBUEl49zh8?authuser=0&hl=en&rclk=1 ,  ,  
150,Trung Tâm Đào Tạo Tài Năng Nhí Kids+,https://www.facebook.com/tainangnhikidsplus/?locale=vi_VN,MC,Đào tạo nhí,21.023794,105.82246,Phường Ô Chợ Dừa,"Trường Đại học Văn hoá Hà Nội, 418, Đường La Thành, Phường Ô Chợ Dừa, Hà Nội, 11511, Việt Nam",  https://www.google.com/maps/place/Trung+T%C3%A2m+%C4%90%C3%A0o+T%E1%BA%A1o+T%C3%A0i+N%C4%83ng+Nh%C3%AD+Kids%2B/data=!4m7!3m6!1s0x3135ab5c1c67145f:0xd3fdf3e8b2b21334!8m2!3d21.0109779!4d105.8201988!16s%2Fg%2F11kk7w05wm!19sChIJXxRnHFyrNTERNBOysujz_dM?authuser=0&hl=en&rclk=1 , ,  
151,  Trung tâm Đào tạo và Nghệ thuật FFC ,https://www.ffc.edu.vn/,"Người mẫu, Hát, Nhạc cụ, Diễn viên, Kỹ năng mềm khác, Nghệ thuật nhí khác",Đào tạo nhí,21.010978,105.820199,Phường Đống Đa,"Phố Trung Liệt, Thái Hà Ấp, Phường Đống Đa, Hà Nội, 11527, Việt Nam", ,  , 
152,  Trung tâm đào tạo và phát triển năng khiếu Happy House ,https://www.facebook.com/ttnangkhieuHappyhouse/,"Hát, Nhạc cụ",Đào tạo nhí,21.007417,105.808141,Phường Thanh Xuân,"VIB, Đường Lê Văn Lương, Phường Thanh Xuân, Hà Nội, 11417, Việt Nam", ,  , 
153,  Trung tâm giáo dục và nghệ thuật FELIX ,https://www.facebook.com/felix.education.academy/photos?locale=vi_VN,Nhạc cụ,"Đào tạo người lớn, Đào tạo nhí",21.011245,105.820052,Phường Đống Đa,"Phố Trung Liệt, Thái Hà Ấp, Phường Đống Đa, Hà Nội, 11527, Việt Nam", ,  , 
154,Trung tâm khuyến nhạc Kidmusic,https://www.facebook.com/p/Trung-t%C3%A2m-khuy%E1%BA%BFn-nh%E1%BA%A1c-Kidmusic-100057140872329/?locale=vi_VN,Nhạc cụ,"Đào tạo nhí, Đào tạo người lớn",21.011102,105.820074,Phường Đống Đa,"Phố Trung Liệt, Thái Hà Ấp, Phường Đống Đa, Hà Nội, 11527, Việt Nam", , , 
155,Trung Tâm KIDSTARS,https://kidstars.net/,Nhạc cụ,Đào tạo nhí,21.01073,105.859369,Phường Hai Bà Trưng,"Sửa xe máy Tiến Nam, 111, Ngõ 190 Phố Lò Đúc, Phường Hai Bà Trưng, Hà Nội, 11626, Việt Nam", , , 
156,  Trung tâm Kosmo Art - Lớp Học Nghệ Thuật ,https://www.facebook.com/profile.php?id=100067638589297&sk=photos_albums,"Nhạc cụ, Nghệ thuật nhí khác",Đào tạo nhí,21.046751,105.797361,Phường Nghĩa Đô,"Đường Xuân Tảo, Phường Nghĩa Đô, Hà Nội, 10072, Việt Nam", ,  , 
157,  Trung Tâm Magic Music School ,https://magicmusicschool.com.vn/khoa-hoc/tuyen-sinh-khoa-thang-5-2021-n39-217,"Hát, Nhạc cụ",Đào tạo nhí,21.00997,105.79819,Phường Yên Hòa,"Ngõ 166 Đường Trần Duy Hưng, Trung Kính, Phường Yên Hòa, Hà Nội, 11312, Việt Nam", ,  , 
158,Trung tâm năng khiếu Smoo Art, ,Nghệ thuật nhí khác,Đào tạo nhí,21.009164,105.79339,Phường Yên Hòa,"Chung cư Vimeco, Phường Yên Hòa, Hà Nội, 11312, Việt Nam", , , 
159,Trung Tâm Nghệ Thuật Adam,http://dayhocnhac.vn/,"MC, Hát, Nhạc cụ","Đào tạo nhí, Đào tạo người lớn",20.995261,105.86954,Phường Vĩnh Tuy,"tiNiWorld, Đường Số 5 Times City, Vinhomes Times City, Phường Vĩnh Tuy, Hà Nội, 11622, Việt Nam",https://www.google.com/maps/place/Trung+T%C3%A2m+Ngh%E1%BB%87+Thu%E1%BA%ADt+Adam/data=!4m7!3m6!1s0x3135ab7366c73541:0x6f5af61b3b0b627!8m2!3d21.031726!4d105.8224838!16s%2Fg%2F11b86mltww!19sChIJQTXHZnOrNTERJ7aws2Gv9QY?authuser=0&hl=en&rclk=1, ,http://dayhocnhac.vn/
